Tweet,Topic
المشكله انكم اخذتوا فلوس اشتراكي للنت وقطعتوا الخدمه عني بنفس اللحظه وموش عيزين ترجعولي الخدمه فلوسي بقالكم تبقي شركه,ADSL
عرض ج رواتر التليفون الاراضي,ADSL
اشترك adsl العرض الجديد ؟,ADSL
السرعات وسعه التحميل,ADSL
استهلاكي للadsl وميعاد دفع الفاتوره ؟,ADSL
عصام محمد بشكركم خدماتكم المتميزه جدا اسمارت اس شكرا لخدمه العملاء الشركه,ADSL
بخصوص adsl عملت للراوتر ضبط مصنع هيروح اشتراكي الشركه ؟,ADSL
ازي اشغل خط النت اتصل,ADSL
هقدم نت ارضي شركتكم المحترمه الخدمه بتوصلني بازن الله,ADSL
؟ خدمه ADSL رايكم ياجماهير مصر =D,ADSL
خط ADSL العروض الموجوده ومين الموزع مركز الشهداء منوفيه,ADSL
مشترك انترنت adsl وكل شويه النت يقطع ولما بكلم خدمه العملاء بيقولولي كونكشن ولما النت بيجي دقائق وبيقطع تاني الحل بقا ؟,ADSL
حد يرد بسرعه اشترك dsl ومش عارف الاسعار والسرعات,ADSL
Ma na sebna el a mar w gena ll a dr a olna yom w yerkab el net w nothing happened w no one came,ADSL
الروتر الكهربا ذادت وحرقتو يتصلح اعنل,ADSL
كنت اسال عرض باقه وخد راوتر هديه الراوتر هوائي خط ارضي,ADSL
عرض ADSl ميجا ج هل الراوتر wireless لاء ؟ ؟,ADSL
سمحتوا مشترك خط نت adsl عرف استهلكت اد السعه الاستخدام,ADSL
كنت اوصل نت الخط الارضي فكنت المطلوب والعروض والتكلفه العلم الخط الارضي ياريت ضروري,ADSL
العملاء الحالين بسرعه ميجا ADSL وعايز اعلي السرعه ل ميجا بسعر الباقات الجديده جنيه,ADSL
كنت مقدم راوتر ه وجه ولسه الخدمه م اشتغلتش المشكله دلوقت,ADSL
عوزين عروض DSAL,ADSL
خط النت الارضي وكل افتح بيجيب صفحه استكمال البيانات وبيطلب رقم هاتف والايميل والمفروض انكم تبعتو كود ومفيش بتبعت فمش قادر ادخل,ADSL
عاوزين باقه سنويه انليميتيد يااخضر :D,ADSL
اكتوبر وخطوط الارضي اتغيرت نحاس لفيبر ADSL متغيرت منفعش اكمل فدلوقتي بدعم الخطوط الفيبر ليسه ? ?,ADSL
انتم شغلتولي خدمه Adsl الخط الارضي بتعاقد قديم الغاءه ودا نتيجه خطا موظفي الموزع بتاعكم وانتوا قولتوا انكم هتحققوا الموضوع وتجازوا المخطا بقي حقي تعويض الفتره حجزتوا الخط بدون وجه حق وعطلتوني وعطلتوا شغلي دا القرف واللف الفروع ومكالمات لخدمه العملاء علشان تحلوا المشكله انتوا اساسا السبب ودا رقم تليفوني,ADSL
السلام عليكم مشترك خط ميجا ودفعت الاشتراك الشهري ولسه السرعه بطيئه جدا مبيكملش كيلو الدونلود,ADSL
استهلاكي adsl ؟ سرعه ميجا سعه تحميل جيجا,ADSL
اشتركت خدمه ETISALAT ADSL الجمعه فاتت كنت الخدمه هتشتغل ولو اشتغلت هعرف ؟,ADSL
اباشا اقدم تليفون ارضي واقدم راوتر سرعه ميجا,ADSL
اشترك ADCLباقه جيجا سرعه السرعات المفتوحه سعه التحميل والتفاصيل,ADSL
مشتركه Adsl ميجا لي ضعيفه وبطيئه العمل حد يرد عب,ADSL
هوه عرض Adsl % لمده شهور ميجا,ADSL
متوسط سرعه الدونلود ميجا وال ميجا كم حابب اشترك معاكم,ADSL
مشترك جديد بقالي شهر النت موصلش,ADSL
كنت اشترك adsl,ADSL
فاتوره الخط dasl نزلت,ADSL
ازنكم ادخل نت الخط الارضي العروض متوفره,ADSL
البينج عالي ميجا ومش معايا حد الروتر,ADSL
اجيب راوتر سرعته ميجا سعره ميجا سعره وكام ؟ عروض الروتر,ADSL
سمحتو هوا احنا المفروض ندفع فلوس الواي فاي اصل شويه مشاكل النت,ADSL
كنت ازود سرعت خط الADSL لمده معينه وادفع الموجود شبكات ؟ اخلي السرعه ميجا لمده ساعه !,ADSL
كيف عمل شبكه عامه فوق منزلي كيف التواصل معاكم,ADSL
مقدم الADSL شهر ونص ولسه لحد موصلتهوش امل النت يوصل السنه الجديده :,ADSL
ادفع شهر ADSL ادفع ؟,ADSL
عروض النت اوصل طريق التلفون الارضي,ADSL
مشترك ميجا وعايز اخليها ميجا ومعاد الاشتراك ولو اتعملت ينفع ارجع لي ميجا تاني وازاي اغير الاشتراك لي,ADSL
امبارح سالت هنا وعلي customer service استهلاك الجيجا ADSL ومحدش رد عليا,ADSL
اتصلت الاشتراك خدمه النت ودوست هشان اكلم العملا قالي ادخل رقم التليفون دخلته قالي غلط رغم صحيح الحل ؟ اشترك النت,ADSL
howa ana dlw ty Etisalat ADSL tmam mb = gb tmam ? ana azay a rf fadly kam gb we keda ? feh mawk we keda wla eh ?,ADSL
Adsl ميت وبيتحاسب حرام علينا الفلوس بندفعها والله,ADSL
قدمت اشتراك adsl وقالولي هنتواصل معاك العيد ومحدش كلمني,ADSL
كنت اركب adsl المهم فعلا اشتركت واخدتوا البيانات وبعدين واحده كلمتني قالتلي مندوب هيجي يركب الخط ومحدش جه لحد ! !,ADSL
عروض نت,ADSL
انظمه النت التيلفون الارضي,ADSL
موصل خط نت adcl سرعه ميجا Downstream Upstream Data Rate kbps معناه السرعه بالضبط,ADSL
مشكله بظبط اعدادات الروتر وبيعمل كونكتد وبيديني بنج بكلمكم فتحت الفيس بوك بخناقه ومافيش تانيه بتفتح جوجل الاعدادات الصحيحه للروتر VPIVCI Service list Port binding Connection type NAT Service type Encapsulation mode الخ,ADSL
بخصوص لمبه الdsl الراوتر مش بتثبت شويه تشتغل واحيانا تفصل كده نفسها السبب,ADSL
حضرتك السرعه ميجا الاستخدام جيجا,ADSL
مشتركه باقه ADSL social وعايزه احول الدقايق الاتصالات لدقايق شبكه اخرا,ADSL
الشترك ADSL,ADSL
سمحتو اشتراك idsl بيبقي شريحه موبايل خط ومحطوطه داخل روتر بيبقي توصيلها طريق التليفون الارضي,ADSL
حضرتك عملت ل ADSL ومفيش حد كلمني لحد حد اتصل بيا رغم اني سجلت الموقع,ADSL
خط ميجا محدود ؟,ADSL
بصراحه شركه رديئه جدا سرعه النت واسجابته خدمه العملاء غلط اني عملت باقه لشركه المستوي الخدمه وغلط لما موزع معتمد اقنعني بالاشتراك Adecl يومنا الخدمه مشتغلتشي بصراحه اكبر غلطه,ADSL
استلمت الراوتر والخدمه اشتغلتش وكل اتصل يقولوا ل شغلي كله عالنت وماينفعش اقعد نت,ADSL
فضلك تعاقدت adsl ابريل والمفترض وفقا لكلام خدمه العملاء اثناء التعاقد فتره التركيب وحتي ابريل تصلني الخدمهو بتابع رقم المتابعه جاري التركيبانا بدخل النت فقط بباقه السوشيال وقاربت الانتهاء ومش هتمكني اني افتح لينكاتارجو وضع التركيب الاقل مشكله هتستغرق وقت,ADSL
مقدم ADSL ودي تجربه ليا مصر والخدمه مشتغلتش ياتري انطباعي ! ؟,ADSL
اوصل راوتر التليفون الارضي,ADSL
حضرتك اشترك ADSL اروح فرع اروح فين بالضبط وايه الباقات المتاحه,ADSL
سمحتو اركب نت واي فاي البيت الاشتراك والسرعه,ADSL
مقدم dsl وعدت فتره بدري وقدمت استعجال وقعد ساعه وكل اتصل تقولولي يتم استعجال تمت ياريت يبقي اهتمام كده,ADSL
مشترك خدمه adsl بقالي مستلم الراوتر ولحد الخدمه وصلتش,ADSL
المنطقه بتعتنا مفيهاش شبكه تليفون ارضي هل طريقه اوصل بيها انترنت ؟ !,ADSL
اشترك بباقه نت سرعه ميجا للبيت,ADSL
كنت هل اماكن مبتوصلش لهم adsl,ADSL
راوتر اصالات يحون طول مش باقه,ADSL
اجيب راوتر سرعته ميجا هيجيب سعره ميجا سعره وكام ؟,ADSL
سمحتو ماهوالنت المنزلي,ADSL
كنت عاايز اسعاار سرعات النت والعروض #من فضلك ومتقوليش خش اللينك يااريت,ADSL
مغيره لنظام حكايه ابو جنيه ثلاث واشتغلت الباقه حلو بتصل لقيت الباقه اتلغت حرام يضيع الفلوس استفيد بيها,ADSL
اشترك نت البيت فكنت سعر وسعر ميجا ؟,ADSL
بينزل الليميت جيجا بتوع adsl سرعه ميجا هل جيجا بينزلوا الفاتوره تاني ؟,ADSL
انتو بتوصلو النت طريق كبلات الفايبر محافظه المنيا ؟ ؟,ADSL
كنت عروض DSL,ADSL
حضرتك هيا خدمه عندكم راوتر وباقه انترنت شهريه للروتر ؟,ADSL
اشتركت خصيه دقيقه قرش معايه باربعه جنيه رصيد اشتركت قلولي معاك قرش رصيد ومش عارفه رصيدي راح فين,ADSL
الفيس بوك اصبح الدخول عاليه ببلاش ايهInternetorg by facebook,ADSL
مشترك جديد بخدمه ADSL وعاوز حساب الموقع لمتابعه الاستهلاك بعمله اصدار الفاتروه التانيه ليا وشكرا,ADSL
منين ليكم الحق انكم تخفضو المساحه الاستخدام Adsl ل جيجا بدون الرجوع لصاحب الخط,ADSL
معي Usb بشحنها بيديني جيجا ونص فتره اساسيه وجيجا ونص فتره اضافيه باليل خلصت معي احول لنظام تاني وعاوزه النظام اعلي ج جيجا واحول,ADSL
شكوي تعاقدت ADSL فتره طويله تصل الخدمه سوهاج,ADSL
خدمه واي فاي البيانات,ADSL
باقات اتصلاتadsl للخطوط الارضي الغير محدوده مزاياها واسعارها,ADSL
سرعه ميجا الغير محدوده تطبق سياسه الاستخدام العادل مفتوحه الاستهلاك طوال,ADSL
قدمت روتر الجمعه فاتت ولسه مجاش النت كده الشبكات التانيه تاني النت بيجي,ADSL
النت بيفصل ويفتح مرستر روتر عملت الحل ؟,ADSL
سمحتوا عروض النت DSL بتاعتكم والاسعار والسرعات ؟ ؟,ADSL
قدمت خدمه ADSL هتيجي كد,ADSL
مشكله دفع الفاتوره بتاعت النت adsl ومحد ش رد customer care,ADSL
مشكله معاكم خط النت وحش البيت,ADSL
روتر السرعه ميجا اخليه ميجا شهريا اغير السرعه,ADSL
USB باقه ج الباقه خلصت والشهر مخلصش اجددها بليز رد,ADSL
معي راوتر النت الهوائي والباقي محدود بوقت معين هل تغير استخدمه ساعه بدون وقت محدد,ADSL
كنت مقدم خط Adsl بقاله ومحدش كلمني استلم الراوتر وتفعيل الخدمه,ADSL
"خطي فاتوره مفتوحه , ينفع اشترك عرض DSL RED ?",ADSL
اشتركت والرواتر جه وقولولي الشحن بيكون طريق اتصلت قعدتت ترغي ومعرفتش اﻻفاده,ADSL
Vodafone Egypt خدمه نت للخطوط الهوائيه,ADSL
سمحتوا بالنسبه للنت الهوائي هل الباقه بتكون مقسمه طول الساعه ص ل م بمعني باقه بتكون جيجا نستخدم منهم جيجا وقت وال جيجا الباقين نستخدمهم فقط الساعه ص ل م ؟ وشكرا,ADSL
راوتر هواني اورانج نوعه pw احول نت هوائي هل لازم اشتري راوتر هوائي الراوتر دا ينفع ولو ينفع احط شريحه عاديه شريحه داتا,ADSL
نظام ميجا unlimited DSL هشترك وايه اقصي حد للداونلود الشهري ؟ ؟,ADSL
معلومات جهاز النت بدون خط ارضيالسعر والاشتراك فالشهر وازاي اقدر احصل وخلال وقت ؟ !,ADSL
الراوتر الهوائي محددين وقت معين للاستخدام نظام كنترول بيدي جيجا بايت الحق اني استخدم جيجا بايت صباحا لحد والوقت كله نوم شغل اني استخدم جيجا بايت طول متاح اني استخدم النت ؟,ADSL
اعارف جهاز الوي فاي للنت بدون فون اراضي تفصيل ارجوالرد,ADSL
امبارح بحاول اشتراك عرض اس ومش مجمع معايا واخر رقم للطلب t a w,ADSL
حضرتك كونت عواز ازي اغير البسورد بتاع الوي فاي ازنك,ADSL
بتصل خدمه العملاء ل adsl مش مفعله ؟ !,ADSL
اشترك نت واي فاي وعايزه الحاجات اجبها الطلبات بعني,ADSL
كونت اشترك AbsL مشترك شركه تاني لزم الغي الاشتراك الشبكه اشتال الروتر واشتراك عندكم,ADSL
فضلت شهور شحنت رصيد والشريحه انسحبت وعايز ارجعها مسجله باسمي,Credit
شحنت واشتركت باقه وسحب واتبقي الرصيد زيهم ازود بيهم اكسترا ميجا,Credit
مشكله احول رصيد جربت ويبعتلي رساله مضمونها عفوا الخدمه غيره متوفره نظامك الحالي نظامي قرش,Credit
عرض للمخطوبين خراب البيوت اهنا دا,Credit
رقمين عملوا تجوال يتحاسبوا لما يكلموا بعص بجنيه برده السعوديه,Credit
لعرض اضعاف شحنتك وايه اجدد عروض الشحن,Credit
لما باقه يقولي استهلكت % السرعه القصوي ياخد رصيدي كده هيحصل,Credit
لما باقه يقولي استهلكت % السرعه القصوي ياخد رصيدي كده هيحصل,Credit
اشحن ياخدو رصيدي كلو,Credit
شحنت جنيه ساعه نسيت اكلم * # امكانيه اني اشترك ؟,Credit
اجدد باقه حكايه العلم اني معايا رصيذ والميعاد جه ولسه متجدداش لوحدها ! ! ؟,Credit
هيه العروض نازله بتاعت رصيد جنيه لما تجاوب صح حقيقي,Credit
Etisalat Misr خربشت كرت الشحن طار مني رقمين رقمكم الارضي علشان احل المشكله,Credit
شويه يخصمو مني رصيد خدمه دعاء الغيها,Credit
بطلوا هري بقي اقسم بالله شاحن امبارح جنيه ومافي دقايق جات,Credit
معايا نقط كتير وعليه فاتوره متاخره ينفع ادفع الفاتوره بالنقاط نقطه,Credit
اتصاﻻت احول رصيدمن خط اتصاﻻت باقه مكالمات لخط اتصاﻻت كارت العلم رصيد مجاني وايه الخطوات,Credit
والنبي اشحن كارت احول رصيد رصيد فعلا بيقولي لقد نفذ رصيدك شاحن حالا ويقولي لقد نفذ رصيدك برجاء الشحن ومش عارف اكلم خدمه العمله زهقت والله حرام كده,Credit
هوا اشترك نظام ضعف شحنتك ؟ ؟,Credit
يافندم باقه دقيقه لوخلصو الميعاد وحضرتك قولتلي تشحن بي جنيه دقيقه برضو يخلصو فتره السماح شاحن خمسه الشهره يخلصو برضو خمسه بعده ولالحد الدقايق ماتخلص,Credit
"اشتركت نظام اليومي جنيه ميكس , اتوماتك بيسحب جنيه ؟ ولو حبيت الغي الاشتراك الغيه",Credit
باقي كم دقيقه يعد المكالمه,Credit
تيجي رساله استهلاك % الباقه السرعه القصوي وادخل الغي الباقه تيجي رساله مشترك افهم بيحصل,Credit
اذنكم ياريت مساعده ضروري اشتريت كرت شحن بخدش الكارت ارقام اتمسحت مش معايا رصيد اكلم خدمه العملاء ياريت تساعدوني لاني محتاج اشحن الكارت,Credit
هوانا بشحن وبعدين باقه نت يقوللي يتم تجديد الباقه لعدم وجود رصيد كافي ؟ ؟,Credit
طريقه الشحن السريع ؟ ! !,Credit
نصبتو عليا جنيه خلتوني داخل شهور مبشحنش الحركه ومشغل خط,Credit
حضرتک کل ماحول رصيد الکون تون يتفعل معا نفسو عاوﺰ الغي الکون تون,Credit
الفاتوره شهريه بكم وبتدايك كم دقيقه وشبكات التانيه,Credit
هل خدمه حد يبعتلي رصي الخط واروح استلمه كاش الفرع,Credit
جاتلي رساله جنيه هيجيلك رصيد جنيه حولت ومفيش جت الاشتغاله ينفع كده,Credit
سافرت عمره بخط وكلموني هنا برده بيكون سعر الدقيقه,Credit
خط بيعمل عادي السعوديه اخذته معايا وكام سعر الدقيقه وهل يتم خصم المتصل,Credit
احول رصيد خطتي لخط تاني برضو علشان اتعامل شركه,Credit
معايا كارت شحن اشحنه اتصل برقم لان خدمه * * الكود # مش شغاله,Credit
معايا جنيه رصيد وعايزهم كاش اعملهم ولو مينفعش احول رصيد لشبكه تانيه,Credit
فكره التليفون نت وﻻ اغنيه اﻻول وﻻ خالص ولغايه امبارح دقيقه مجانيه انهارده اﻻقي جنيه مسحوبين الرصيد تفسير,Credit
شوف شغلكوا والاخطاء الفواتير وبعدين اعملوا مسابقات براحتكو,Credit
الخير بشحن شويه والرصيد بيتخم الغاء العروض بتاعت المسابقه,Credit
بيجليي رسايل اختبارت الصحه تاخد مني الر صيد وعايز الغيه فضلكو وكمان مشكله شحنت جنيه جت رساله رصيدي خلص مستعملتوهش,Credit
سمحتوا عامل باقه سوبرسوشيال وعاوز الغي استخدام المواقع الغير مجانيه بتسحب الرصيد بطريقه رهيبه وشكرا,Credit
سالف,Credit
يا فندم هدايا بتيجي خالص لما بشحن,Credit
خط اتصاﻻت بشوفه بيتباع العريات التابع ليكم الميداين بيبعو خط بي جنيه وبيقولو لما تشحن الخط بي جنيه بتاخد دقيقه لي ارقام دقيقه لي شبكه اخره جنيه رصيد فا حقيقي ياريت حد يعرفني,Credit
شحنت كارت واداني مسج error حاولت لي لقد استخدام الكارت,Credit
فضلك ياريت تفاصيل شحن كرت العيله وهل الرصيد ببعته للرقم مده محدده وبينتهي مفتوح لغايه مايخلص وشكرا,Credit
جايبه خط جديد ومعرفش نظام بيجيلي جنيه شهر اشحب جات شهرين وبعدها مبقتش بتيجي وعاوزه نظام حلو اشترك,Credit
احترامي ليكوا فعلا انتوا كرهتوني اشحن رصيد الخصم شويه بتخصموه بدون داعي حقيقي الموضوع زاد اوي الفتره حده,Credit
معرفش الرصيد بيتسرب فين,Credit
معايا كارت رقم اتنين اتخربشو ومعيش رصيد رقم ارضي ؟,Credit
كنت واخد دقيقه المهم بتكلم فصل الخط اتصلت تاني خصمو تمن المكالمه وبعدها اتصلت بردو خصمو افاده الخصم معايا دقيقه ! !,Credit
اشحن رصيد باستخدام الفيزا م النت اللينك Etisalat Misr,Credit
عرض اضعاف شحنتك الدقايق هتفضل لحد ؟ لما تخلص ؟,Credit
معايا ج رصيد باقه كونكت الضعف سوشيال وباقي الرصيد باقه ترفيه ج اسبوعيه بدل الرصيد بيتسرق هل عملت باقه الضعف عملت باقه اسبوعيه كده الضعف هاتتلغي وهاتفضل باقه,Credit
نظام شحني جنيه,Credit
ازنكم علشان استلف رصيد,Credit
يافندم اقفل الرصيد علشان داخل النت الباقه بلاقي الرصيد بينقص,Credit
ازنكو احول رصيد لشخص اخر ازي وكل احول رصيد الخدمه متاحه لك,Credit
كنت احول رصيد لاي حد علشان لما بدوس * * الرقم * التحويل #مبيرضاش ويقلي متاحه لك اني كنت بحول كنت احول وارجو سريعا مروح الشغل,Credit
فضلك احول رصيد,Credit
اكواد الاستعلام رصيد حكايه ولوانا ازود رصيد ماميعاد الباقه يجي,Credit
احول دقائق لشبكات الاخره الئ هئ الدقيقه دقائق علئ نظام حكايه,Credit
السلام عليكم خطي قرش للدقيقه,Credit
سمحتوا جبت كارت ومكتوب #الكود * * هيديني ميكس دقايق وميجا هشترك الشحن اشحن,Credit
شحنت كارت بعشره الخط لخدمه سلفني خمسه جنيه ولما مكالمه الرصيد خلص خايفه اشحن تاني الرصيد يروح برده,Credit
عرض الدقائق المجانيه كرت الشحن تحويل دقائق لي خط تاني,Credit
معايا خط موبايلي وشغال شبكه ازي اقدر اشحنه كود,Credit
لما بيكون معايا رصيد فاتح الباقه بيؤتيحب كله حل ضروري,Credit
اشحن رصيدي ببطاقه الفيزا البنك الاهلي Etisalat Masr,Credit
اشحن خطي بالسعوديه واشتريت بطاقه شحن موبايلي وما استطع شحن الهاتف,Credit
كرت شحن وقع بالميه وراح الكود استفاد الكرت انسي,Credit
ارجع خاصيه الرصيد الباقي يظهر المكالمه ماتخلص,Credit
احول رصيد تلفوني اتصل,Credit
حضرتك لما بشحن جنيه بيقولي تمت اضافه جنيه رصيه مجاني ولما برن حد بياخد الرصيد ؟,Credit
حضرتك لما بشحن كارت بيتم خصم رسوم دمغه الكارت,Credit
اشحن رصيدي خط بره مصر ?,Credit
اشتريت كارت وباظ منه ارقام النص اتخدشت جنيه بحالها,Credit
اسعار الكروت ؟,Credit
اشحن كارت وتاني الاقي رصيد واشتراكت باقه وجالي رساله اني اشتركت وبعد ساعه جالي رساله اني فسل تجديد الباقه,Credit
اخرج المسابقه بدل شويه خصم الرصيد,Credit
